date,time,testing_party,site,subsite,type,body_wave_magnitude,surface_wave_magnitude,explosive_yield,latitude,longitude,purpose,device_type,rock_type,device_position,name,references
620427,,US,CHR,,IRD,,2,-1000,,,WR,,,,AZTEC,E
620427,,US,NTS,,HFT,,,LOW,,,WR,,,,BLACK,E
620501,100000.5,FR,ECK,,UNN,,,g20,24.063N,005.042E,WR,,,,BERYL,N
620502,,US,CHR,,IRD,,LO,1000,,,WR,,,,ARKANSAS,E
620504,,US,CHR,,IRD,,2,-1000,,,WR,,,,QUESTA,E
620506,,US,PAC,,OCH,,,600,,,WR,,,,FRIGATEB,EN
620507,,US,NTS,,HFT,,,LOW,,,WR,,,,PACA,E
620508,,US,CHR,,IRD,,2,-1000,,,WR,,,,YUKON,E
620509,,US,CHR,,IRD,,2,-1000,,,WR,,,,MESILLA,E
620510,,US,NTS,,HFT,,,LOW,,,WR,,,,ARIKAREE,E
620511,,US,CHR,,IRD,,2,-1000,,,WR,,,,MUSKEGON,E
620511,,US,PAC,,NDW,,,LOW,,,WE,,,,SWORDFIS,E
620512,,US,CHR,,IRD,,2,-1000,,,WR,,,,ENCINO,E
620512,,US,NTS,,HFT,,,40,,,WR,,,,AARDVARK,E
620514,,US,CHR,,IRD,,2,-1000,,,WR,,,,SWANEE,E
620519,,US,NTS,,HFT,,,LOW,,,WR,,,,EEL,E
620519,,US,CHR,,IRD,,2,-1000,,,WR,,,,CHETCO,E
620525,,US,NTS,,HFT,,,LOW,,,WR,,,,WHITE,E
620525,,US,CHR,,IRD,,,LOW,,,WR,,,,TANANA,E
620527,,US,CHR,,IRD,,2,-1000,,,WR,,,,NAMBE,E
620601,,US,NTS,,HFT,,,LOW,,,WR,,,,RACCOON,E
620606,,US,NTS,,HFT,,,LOW,,,WR,,,,PACKRAT,E
620608,,US,CHR,,IRD,,2,-1000,,,WR,,,,ALMA,E
620609,,US,CHR,,IRD,,2,-1000,,,WR,,,,TRUCKEE,E
620610,,US,CHR,,IRD,,,g1000,,,WR,2,,,YESO,EN
620612,,US,CHR,,IRD,,2,-1000,,,WR,,,,HARLEM,E
620613,,US,NTS,,UNN,,,LOW,,,WR,,,,DESMOINE,E
620615,,US,CHR,,IRD,,2,-1000,,,WR,,,,RINCONAD,E
620617,,US,CHR,,IRD,,2,-1000,,,WR,,,,DULCE,E
620619,,US,CHR,,IRD,,,LOW,,,WR,,,,PETIT,E
620621,,US,NTS,,HFT,,,LOW,,,WR,,,,DAMAN 1,E
620622,,US,CHR,,IRD,,2,-1000,,,WR,,,,OTOWI,E
620627,,US,CHR,,IRD,,,g1000,,,WR,2,,,BIGHORN,EN
620627,,US,NTS,,HFT,,,67,,,WR,,,,HAYMAKER,E
620628,,US,NTS,,UNN,,,LOW,,,WE,,,,MARSHMAL,E
